company,email
Sai Life Sciences,careers@sailife.com
Sai Life Sciences,hr@sailife.com
Kotak Pharma,info@kotakpharma.com
Kotak Pharma,hr@kotakpharma.com
Centra Pharma,info@centrapharma.com
Centra Pharma,hr@centrapharma.com
Excel Industries (Pharma),hr@excelind.com
Excel Industries (Pharma),info@excelind.com
Bharat Serum and Vaccines,hr@bharatserums.com
Bharat Serum and Vaccines,careers@bharatserums.com
Indoco Remedies,careers@indoco.com
Indoco Remedies,hr@indoco.com
Bliss GVS Pharma,careers@blissgvs.com
Bliss GVS Pharma,hr@blissgvs.com
Unichem Laboratories,careers@unichemlabs.com
Unichem Laboratories,hr@unichemlabs.com
Endo International India,hr.india@endo.com
Pfizer India,careers.india@pfizer.com
Abbott India,careers.india@abbott.com
Novartis India,careers.india@novartis.com
Sanofi India,careers.india@sanofi.com
AstraZeneca India,careers.india@astrazeneca.com
Boehringer Ingelheim India,careers.india@boehringer-ingelheim.com
Bayer Pharmaceuticals India,pharma.india@bayer.com
Mylan India (Viatris),careers.india@viatris.com
Sun Pharma (Dewas),hr.dewas@sunpharma.com
IDPL Vadodara,info@idplindia.in
Panaceamedica,info@panaceamedica.com
Zydus Animal Health,hr@zydusah.com
Zydus Cadila (Moraiya),hr.moraiya@zyduslife.com
Novalab Healthcare,info@novalabhealthcare.com
Novalab Healthcare,hr@novalabhealthcare.com
Ozone Pharmaceuticals,hr@ozonepharma.com
Ozone Pharmaceuticals,info@ozonepharma.com
Indiabulls Pharmaceutical,hr@indiabullspharma.com
DishmanBiosolutions,careers@dishmanbiosolutions.com
Nirlife Healthcare,hr@nirlife.com
Nirlife Healthcare,info@nirlife.com
Laxmi Organic,hr@laxmiorganic.com
Laxmi Organic,careers@laxmiorganic.com
Aether Industries,hr@aetherindustries.com
Aether Industries,careers@aetherindustries.com
Tatva Chintan Pharma,hr@tatvachintan.com
Tatva Chintan Pharma,careers@tatvachintan.com
Anupam Rasayan,hr@anupamrasayan.com
Anupam Rasayan,careers@anupamrasayan.com
Meghmani Organics,hr@meghmani.com
Meghmani Organics,careers@meghmani.com
Clean Science and Technology,hr@cleanscience.co.in
Bhagwati Pharma,info@bhagwatipharma.com
Jai Radhe Sales (Pharma),info@jairadhesales.com
Intas Pharma (Matoda Plant),hr.matoda@intaspharma.com
Intas Pharma (Bavla),hr.bavla@intaspharma.com
Zydus Lifesciences (Ankleshwar),hr.ankleshwar@zyduslife.com
Zydus Lifesciences (Ahmedabad HQ),hr.ahmedabad@zyduslife.com
Sun Pharma (Baroda Plant),hr.baroda@sunpharma.com
Alembic Pharma (Samlaya),hr.samlaya@alembicpharmaceuticals.com
Alembic Pharma (Jarod),hr.jarod@alembicpharmaceuticals.com
Torrent Pharma (Gandhinagar),hr.gandhinagar@torrentpharma.com
Claris Injectables,hr@clarisinjectables.com
Claris Injectables,careers@clarisinjectables.com
Nirma Pharma,hr@nirmapharma.com
Nirma Pharma,careers@nirmapharma.com
Cadila (Ankleshwar),hr.ankleshwar@cadilapharma.com
Gujarat State Biotechnology Mission,info@btm.gujarat.gov.in
Gujarat State Biotechnology Mission,gsbm@gujarat.gov.in
Aditya Birla (Hindalco Pharma),hr.pharma@adityabirla.com
Welspun Pharma,hr@welspunpharma.com
Welspun Pharma,info@welspunpharma.com
Patel Healthcare,info@patelhealthcare.in
Patel Healthcare,hr@patelhealthcare.in
DWD Pharmaceuticals,info@dwdpharma.com
DWD Pharmaceuticals,hr@dwdpharma.com
Remedium Lifecare,info@remediumlifecare.com
Remedium Lifecare,hr@remediumlifecare.com
Accutest Research,hr@accutestresearch.com
Accutest Research,info@accutestresearch.com
Lambda Therapeutic Research,hr@lambda-cro.com
Lambda Therapeutic Research,careers@lambda-cro.com
Cliantha Research,hr@cliantha.com
Cliantha Research,careers@cliantha.com
Veeda Clinical Research,hr@vfrresearch.com
Veeda Clinical Research,careers@vfrresearch.com
Karnavati Engineering,info@karnavatiglobal.com
Hester Biosciences,hr@hfrmedial.com
Hester Biosciences,careers@hfrmedial.com
Aarti Industries,hr@aartiindustries.com
Aarti Industries,careers@aartiindustries.com
Nishant Pharma,info@nishantpharma.com
Nishant Pharma,hr@nishantpharma.com
Shreeji Pharma International,info@shreejipharma.com
Shreeji Pharma International,hr@shreejipharma.com
Themis Medicare,hr@themismedicare.com
Themis Medicare,careers@themismedicare.com
Orbicular Pharma,info@orbicularpharma.com
Orbicular Pharma,hr@orbicularpharma.com
Apex Healthcare,hr@apexhealthcare.co.in
Apex Healthcare,info@apexhealthcare.co.in
Lincoln Pharma (Ahmedabad Plant),hr.ahmedabad@lincolnpharma.com
Pharma Search (Recruiter),info@pharmasearch.co.in
Pharma Search (Recruiter),hr@pharmasearch.co.in
Randstad India (Pharma),pharma.india@randstad.in
Adecco India (Pharma/Life Sciences),lifesciences.india@adecco.com
Michael Page India (Pharma),pharma@michaelpage.co.in
Naukri Recruiter (Pharma QA),qa.pharma.recruit@gmail.com
ABC Consultants (Pharma),pharma@abcconsultants.in
Kelly Services India (Pharma),pharma.india@kellyservices.com
ManpowerGroup India (Pharma),pharma@manpower.co.in
Aspire Pharma (Vadodara),info@aspirepharma.in
Aspire Pharma (Vadodara),hr@aspirepharma.in
Unison Formulations,info@unisonformulations.com
Unison Formulations,hr@unisonformulations.com
Globe Pharma (GIDC Makarpura),info@globepharmachem.com
Globe Pharma (GIDC Makarpura),hr@globepharmachem.com
Sunrise Pharmaceutical (Vadodara),info@sunrisepharma.co.in
Sunrise Pharmaceutical (Vadodara),hr@sunrisepharma.co.in
Anthem Biopharma,info@anthembiopharma.com
Anthem Biopharma,hr@anthembiopharma.com
Marksans Pharma,careers@marksanspharma.com
Marksans Pharma,hr@marksanspharma.com
Gufic Pharma,hr@guficpharma.com
Shilpa Pharma,hr@shilpapharma.com
Meyer Organics,hr@meyerorganics.com
Meyer Organics,careers@meyerorganics.com
Jenburkt Pharma,hr@jenburkt.com
Jenburkt Pharma,info@jenburkt.com
Alpa Laboratories,hr@alpalabs.com
Alpa Laboratories,info@alpalabs.com
Biostadt India,hr@biostadt.com
Biostadt India,careers@biostadt.com
Biological E (vaccines),careers@biologicale.com
Biological E (vaccines),hr@biologicale.com
Serum Institute India,careers@seruminstitute.com
Serum Institute India,hr@seruminstitute.com
Bharat Biotech,careers@bharatbiotech.com
Bharat Biotech,hr@bharatbiotech.com
Haffkine Biopharmaceuticals,hr@hfrmedial.com
Panacea Biotec,careers@panaceabiotec.com
Panacea Biotec,hr@panaceabiotec.com
Indian Immunologicals,careers@indimmune.com
Indian Immunologicals,hr@indimmune.com
Gennova Biopharmaceuticals,hr@gennova.bio
Gennova Biopharmaceuticals,careers@gennova.bio
Wockhardt Biotech (Aurangabad),hr.aurangabad@wockhardt.com
Sun Pharma (Sikkim),hr.sikkim@sunpharma.com
Zydus (Dabhasa QA),qa.dabhasa@zyduslife.com
Strava Healthcare,hrd@stravahealthcare.com
Strava Healthcare,hrd2@stravahealthcare.com
Ajanta Pharma (Dahej),referral.dhj@ajantapharma.com
Ajanta Pharma (Dahej),resume.dahej@ajantapharma.com
Ajanta Pharma (Dahej),referral.dhi@ajantapharma.com
BPL India,nisha.vadgama@bplindia.in
BPL India,hr@bplindia.in
Emcure (Vadodara),upendrasinh.zala@emcure.com
Emcure (Vadodara),atish.patel@emcure.com
Intas Pharmaceuticals,hr@intaspharma.com
Stellar Formulations,hr@stellarformulations.in
Stellar Formulations,info@stellarformulations.in
Cubit Group,hr@cubitgroup.in
Aurobindo (Naidupeta),naidupeta.hr@aurobindo.com
Macleods (Indore),coe.indore@macleodspharma.com
Macleods,amitkumarsingh@macleodspharma.com
Mankind Pharma,sandeep.bhadana@mankindpharma.com
Alembic Pharmaceuticals,production@alembic.co.in
Alembic Pharmaceuticals,quality@alembic.co.in
Lupin,vinodparmar@lupin.com
Zydus (Manufacturing),hr.mfg@zydusmail.com
Zydus Cadila (Ankleshwar),hrank@zyduscadila.com
Zydus Cadila (Baroda),hrbaroda@zyduscadila.com
Sun Pharma (Vadodara HR),vadodara.hr@sunpharma.com
Cadila Pharma,hr@cadilapharma.com
Cadila Pharma,nirmal.pandey@cadilapharma.com
Cadila Pharma,shardulsinh.k@cadilapharma.com
Cadila Pharma,meet.chauhan@cadilapharma.com
Cadila Pharma,joyita.dey@cadilapharma.com
Amneal (Matoda),Career.Matoda@amneal.com
Amneal,hr@amneal.com
Torrent Pharma (Dahej),hrdahej@torrentpharma.com
Torrent Pharma (Virochannagar),HRVirochannagar@torrentpharma.com
Torrent Pharma (Plant HRD),planthrd@torrentpharma.com
Torrent Pharma,shilpathakur@torrentpharma.com
HOF Pharma,recruitment@hofpharma.com
HOF Pharma,hr@hofpharma.com
USV India,careers@usvindia.com
USV India,hr@usvindia.com
Vensure Pharma,hr@vensurepharma.com
Umedica,hr@umedica.com
Umedica,recruitment@umedica.com
Synzeal,hr@synzeal.com
Maithri Drugs,hr@maithridrugs.com
Westcoast Pharma,hrd@westcoastin.com
Milan Laboratories,hr@milanlaboratories.com
Milan Laboratories,careers@milanlaboratories.com
Biovonic Healthcare,hr@biovonichealthcare.com
Ipca (Baroda),hrd.baroda@ipca.com
Relax Biotech,rbpl@relaxbiotech.com
Relax Biotech,devang@relaxbiotech.com
Ronald Pharma,info@ronaldpharma.com
Saflik Pharma,info@saflikpharma.com
Saflik Pharma,shahidansari@saflikpharma.com
Saflik Pharma,hamzaansari@saflikpharma.com
Seahorse Pharma,seahorsepharmapltd@gmail.com
Seahorse Pharma,dkumar@seahorsepharma.com
Seahorse Pharma,info@seahorsepharma.com
Shalman Pharma,info@shalmanpharma.com
Shreeji Pharma,inquiry@shreejipharma.com
Unicure Pharma,info@unicurepharma.com
Trident Pharma,info@tridentpharma.com
Sudeep Group,exports@sudeepgroup.com
RM Pharmaceuticals,info@rmpharmaceuticals.in
Way Pharma,spddwivedi@waypharma.in
Rangam Pharmaceuticals,info@rangampharmaceuticals.com
Rangam Pharmaceuticals,rangampharmaceuticals@gmail.com
Pichemie,info@pichemie.com
Patson Pharma,info@patsonpharma.com
Ornet Pharma,info@ornetpharma.com
Savorite Pharma,savoritepharma@gmail.com
Savorite Pharma,info@savoritepharma.com
Savorite Pharma,info@savorite.com
Varenyam HC,info@varenyamhc.com
Gumex World,info@gumexworld.com
Gumex World,customercare@gumexworld.com
Omni Lifesciences,info@omnilifesciences.com
RLG Group,info@rlggroup.co.in
Robusca Pharma,info@robuscapharma.com
Oneiro Chemicals,marketing@oneirochemicals.net
Kaptab,hr@kaptab.com
Tonira Pharma,info@tonirapharma.com
Comed Chemicals,hr@comedchemicals.com
Rekvina,info@rekvina.com
Rekvina,hr@rekvina.com
GN Pharmaceuticals,info@gnpharmaceuticals.com
GN Pharmaceuticals,hr@gnpharmaceuticals.com
Sudeep Pharma,hr@sudeeppharma.com
Bhumi Pharma,info@bhumipharma.com
Bhumi Pharma,hr@bhumipharma.com
Pharmaforce Labs,recruitment@pharmaforcelabs.com
Pharmaforce Labs,raj.kumar@pharmaforcelabs.com
Sun Pharma,Bhagesh.Sharma@sunpharma.com
Torrent Pharma,hrvirochannagar@torrentpharma.com
Taj Pharma,hrd@tajpharma.com
Aurobindo,nesezg@aurobindo.com
Curefox,hr@curefox.in
RHLP Group,hr.rb@rhlpgroup.com
RHLP Group,hr.biotech@rhlpgroup.com
Raven Bhel,hr@ravenbhel.com
Raven Bhel,pramod.gupta@ravenbhel.com
JDM Research,hrd@jdmresearch.com
Ami Lifesciences,careers@amilifesciences.com
Athulitha Pharma,hr@athulitha.com
Neuland Labs,brohini@neulandlabs.com
Aariva Pharma,aarivapharma1@gmail.com
Aariva Pharma,info@aarivapharma.in
Akhil Healthcare,info@akhilhelathcare.com
Akhil Healthcare,export@akhilhealthcare.com
Apothecon Pharma,sales@apotheconpharma.com
Apothecon Pharma,hrd@apotheconpharma.com
Asence Pharma,sales@asence.com
Aura Lifecare,info@auralifecare.com
Avenza Pharma,exports@avenzapharma.com
Base Pharmacy,info@basepharmacy.com
Bellan Pharma,bellanpharma@gmail.com
Bennet Pharmaceuticals,cm@bennetpharmaceuticals.com
Bennet Pharmaceuticals,exports@bennetpharmaceuticals.com
Biolife Healthcare,hr.biolifehealthcare@gmail.com
Centurion Healthcare,info@centurionhealthcare.com
Century Pharma,marketing@centurypharma.com
Century Pharma,info@centurypharma.com
Century Pharma,support@centurypharma.com
Dagon Pharma,dagonpharma@rediffmail.com
Dogue Pharma,info@dogue.in
Elepharma,info@elepharma.in
Ester Formulations,esterformulations@gmail.com
GLPL Softgels,info@glplsoftgels.com
Harson Lab,info@harsonlab.com
Healthcare FPL,Info@healthcarefpl.com
Healthcare FPL,sales@healthcarefpl.com
Isazi Biotech,contact@isazi.biz
Jarmish Export,jarmishexport@gmail.com
KJ Pharmatech,info@kjpharmatech.com
Krosyl Pharma,info@krosylpharma.com
Kumaka Industries,secretarial@kumakaindustries.com
Lexine Technochem,info@lexinetechnochem.com
Akhil Group,sales@akhilgroup.com
Lifeure,business@lifeure.com
Medicon Life,info@mediconlife.in
Medicon Life,export@mediconlife.in
Medlar Pharma,medlarpharma@gmail.com
Mercury Labs,mllbrd@mercurylabs.com
Mil Laboratories,info@millaboratories.in
Mypher Pharma,info@mypherpharma.com
Novopharm,novopharm.export@gmail.com
Novopharm,export@novopharm1.com
Sunpharma,Abhi.Sharma@sunpharma.com
Amneal,BusinessDevelopment@amneal.com
Hetero,Chandrakanth.k@hetero.com
Amneal,CustomerRelations@amneal.com
Amneal,DrugSafety@amneal.com
Amneal,GovernmentBusiness@amneal.com
Amneal,Invest@amneal.com
Lupin,InvestorRelations@lupin.com
Sunpharma,Kamaldeep.Kaur@sunpharma.com
Amneal,MediaRelations@amneal.com
Torrentpharma,Oncologyplant@Torrentpharma.Com
Hetero,Sanju.r@hetero.com
Hetero,Srilekha.Me@hetero.com
Stallionlabs,aarti.oberoi@stallionlabs.com
Alembic,alembic@alembic.co.in
Linkintime,amiorganics.ipo@linkintime.co.in
Cadilapharma,anujkumar.gupta@cadilapharma.com
Alembic,apiproduction@alembic.co.in
Emcure,aryan.trakroo@emcure.com
Sunpharma,ashok.bhuta@sunpharma.com
Bgpgroup,bd@bgpgroup.biz
Gmail,cadilakenya@gmail.com
Biomatrixhealthcare,career@biomatrixhealthcare.com
Abarishealthcare,careers@abarishealthcare.com
Bdrpharma,careers@bdrpharma.com
Cadilapharma,careers@cadilapharma.co.in
Jbpharma,careers@jbpharma.com
Lupin,careers@lupin.com
Pontikaaerotech,careers@pontikaaerotech.com
Hetero,chandrasekhar.r@hetero.com
Fdcindia,contact@fdcindia.com
Bjkhealthcare,contactus@bjkhealthcare.com
Hetero,corp.comm@hetero.com
Jbpharma,corpcomm@jbpharma.com
Aculife,corporate@aculife.co.in
Usv,deepti.joshi@usv.in
Emcure,dhruvi.rana@emcure.com
Fdcindia,drug.safety@fdcindia.com
Alembic,engg@alembic.co.in
Pharmacompass,enquiries@pharmacompass.com
Sudeepgroup,enquiries@sudeepgroup.com
Macleodspharma,eusafety@macleodspharma.com
Basicpharma,export@basicpharma.in
Comedchemicals,export@comedchemicals.com
Nourishpharma,export@nourishpharma.com
Sunpharma,gaurav.chugh@sunpharma.com
Vihita-bio,hetal@vihita-bio.com
Aculife,hr.sachana@aculife.co.in
Bdrpharma,hr@bdrpharma.com
Biomatrixhealthcare,hr@biomatrixhealthcare.com
Coronaremedies,hr@coronaremedies.com
Cronuspharma,hr@cronuspharma.com
Nourishpharma,hr@nourishpharma.com
Pontikaaerotech,hr@pontikaaerotech.com
Tnspharma,hr@tnspharma.com
Vitallab,hr@vitallab.com
Intaspharma,hr_matoda@intaspharma.com
Alkem,hrbaddi@alkem.com
Ipca,hrd.mumbai@ipca.com
Ipca,hrd.piparia@ipca.com
Hetero,hrd@hetero.com
Usv,hrd@usv.in
Vhcpl,hrd@vhcpl.com
Gmail,hrdclassicindore@gmail.com
Ipca,hrdtech.mumbai@ipca.com
Torrentpharma,hrindrad@torrentpharma.com
Actylis,info.india@actylis.com
Aculife,info@aculife.co.in
Acutaas,info@acutaas.com
Biomatrixhealthcare,info@biomatrixhealthcare.com
Dadajilifescience,info@dadajilifescience.com
Dolphinchem,info@dolphinchem.com
Finarchemicals,info@finarchemicals.com
Gracure,info@gracure.com
Jbpharma,info@jbpharma.com
Lupin,info@lupin.com
Nourishpharma,info@nourishpharma.com
Stravahealthcare,info@stravahealthcare.com
Tnspharma,info@tnspharma.com
Vihita-bio,info@vihita-bio.com
Zydushospitals,infoahd@zydushospitals.com
Alembic,injectable@alembic.co.in
Jbpharma,investorelations@jbpharma.com
Fdcindia,investors@fdcindia.com
Alembic,jain.parkash@alembic.co.in
Narmada,jbunique@narmada.net.in
Jubl,jinang.parekh@jubl.com
Macleodspharma,jobs@macleodspharma.com
Vihita,jobs@vihita.com
Fdcsa,jw.bouwer@fdcsa.com
Usv,kajal.bhanushali@usv.in
Macleodspharma,macleodsphilippines@macleodspharma.com
Macleodspharma,macleodsusa@macleodspharma.com
Amilifesciences,mail@amilifesciences.com
Jubl,niketa.chauhan1@jubl.com
Comedchemicals,purchase@comedchemicals.com
Aculife,rajeshthakor@aculife.co.in
Troikaapharma,ravipandya@troikaapharma.com
Biovonichealthcare,recruitments@biovonichealthcare.org
Usv,reena.bhole@usv.in
Linkintime,rnt.helpdesk@linkintime.co.in
Macleodspharma,safety@macleodspharma.com
Hetero,sales@hetero.com
Sunpharma,secretarial@sunpharma.com
Ajantapharma,sudhan.tillu@ajantapharma.com
Stravahealthcare,sudip@stravahealthcare.com
Linkintime,sunpharma@linkintime.co.in
Jubl,support@jubl.com
Hetero,talent@hetero.com
Macleodspharma,uksafety@macleodspharma.com
Fdcindia,varsharani.katre@fdcindia.com
Macleodspharma,vinayak@macleodspharma.com
Vhcpl,vital@vhcpl.com
Wockhardt,ykale@wockhardt.com
V-ensure,a.salunkhe@v-ensure.com
Glsbiotech,admin@glsbiotech.com
Dhruvipharma,ahm@dhruvipharma.com
Rediffmail,angstrombiotech@rediffmail.com
Rpgls,anikeshkumar@rpgls.com
Coronaremedies,anjaliv@coronaremedies.com
Gmail,biopharls@gmail.com
Bplindia,bplbrd@bplindia.in
Intaspharma,businessdevelopment@intaspharma.com
Senorespharma,career@senorespharma.com
V-ensure,career@v-ensure.com
Amneal,chandanid@amneal.com
Bharatserums,corporate@bharatserums.com
Tatvachintan,cs@tatvachintan.com
Gmail,daffohils@gmail.com
Cadilapharma,drnimita.Oza@cadilapharma.co.in
Yahoo,flourish.pharma@yahoo.com
Rpgls,hr.ankleshwar@rpgls.com
Rpgls,hr1ankleshwar@rpgls.com
Span,hr@span.co.in
Zenara,hrd@zenara.com
Kopran,hrpanoli@kopran.com
Algenebiotech,info@algenebiotech.com
Angstrombiotech,info@angstrombiotech.com
Foodicine,info@foodicine.in
Luckyspharma,info@luckyspharma.com
Ndppl,info@ndppl.co.in
Tatvachintan,jobs@tatvachintan.com
Gmail,khushi.qxihr@gmail.com
Intaspharma,productqueries@intaspharma.com
Drkumarspharma,query@drkumarspharma.com
Exemedpharma,recruitment@exemedpharma.com
Sunpharma,recruitment@sunpharma.com
Coronaremedies,sagart@coronaremedies.com
Rmpharmaceuticals,sales@rmpharmaceuticals.in
Tatvachintan,sales@tatvachintan.com
Rpgls,samarth.patel@rpgls.com
Fresenius-kabi,sanjay.deshpande@fresenius-kabi.com
Yahoo,sanjivanimedicines@yahoo.co.in
Yahoo,santram_agency@yahoo.com
Cadilapharma,shishir.s@cadilapharma.co.in
V-ensure,talent@v-ensure.com
Cipla (Goa),careers.goa@cipla.com
Cipla (Sikkim),careers.sikkim@cipla.com
Dr Reddys (Hyderabad),careers.hyd@drreddys.com
Aurobindo Pharma (Hyderabad),hr.hyderabad@aurobindo.com
Hetero (Hyderabad),careers@hetero.com
MSN Labs (Hyderabad),careers@msnlabs.com
Mylan/Viatris (Hyderabad),careers.hyderabad@viatris.com
Gland Pharma (Hyderabad),hr@glandpharma.com
Granules India (Hyderabad),careers@granulesindia.com
Sun Pharma (Mohali),hr.mohali@sunpharma.com
Sun Pharma (Dadra),hr.dadra@sunpharma.com
Cadila Healthcare (Goa),hr.goa@zyduslife.com
Wockhardt (Waluj),hr.waluj@wockhardt.com
Cipla (Indore),careers.indore@cipla.com
Lupin (Pune),hr.pune@lupin.com
Lupin (Tarapur),hr.tarapur@lupin.com
Lupin (Mandideep),hr.mandideep@lupin.com
Glenmark (Nashik),hr.nashik@glenmarkpharma.com
Glenmark (Baddi),hr.baddi@glenmarkpharma.com
Cadila (Baddi),hr.baddi@cadilapharma.com
Mankind (Paonta Sahib),hr.paonta@mankindpharma.com
Alkem (Sikkim),hr.sikkim@alkem.com
Alkem (Daman),hr.daman@alkem.com
